m0,m1,m2,m3,voltage_mV,std_mV
3077,374,1194,1229,30.34974211859492,8.30497967767406
3081,733,635,1297,5.247169408246101,5.220605776384518
2196,850,937,862,11.206396679586168,7.580380017158138
2425,950,1582,1322,6.79079561754204,2.1187653630189196
3006,836,1048,1021,6.870326853236488,2.161121138595304
3116,430,659,1130,6.376140629291665,3.200260407694865
3018,467,663,645,36.854762413403726,8.193719980216986
2379,553,880,1308,6.914365062410352,1.8093850154522781
2198,1028,963,455,6.773155919064913,2.1895451194296958
2945,377,1508,487,5.044343394268624,5.514531769769301
3092,167,1194,1341,471.5819574571977,7.803667835268752
2418,531,1379,601,5.273659474471267,5.2144197856025185
2469,266,684,1065,6.385052034058657,3.321610238206819
2238,261,1049,456,5.458876308481093,4.951031944352464
2401,682,839,622,261.1789300210578,8.612526549085171
2750,626,1592,507,5.441206091494492,4.945537289077367
3116,739,774,1413,5.573534348582415,4.77711850883985
2382,789,814,1404,6.217352824488053,3.538331811698173
2659,549,1134,745,6.623249000518816,2.77006129991296
3060,1016,1019,610,5.52058473464156,4.826246969944537
3132,242,1519,784,5.899868770409253,4.2263066117597505
2921,930,948,1374,6.13800469985046,3.7561117991511606
2193,287,831,789,5.520584734641561,4.826246969944537
2164,459,983,1327,6.287942136906033,3.4186262505007528
2662,469,1078,941,294.6961882381665,7.853817536414177
3106,306,670,467,166.91274758140813,7.947763287811028
2431,493,974,882,7.586626789147618,3.3226588639167756
2830,510,1326,1140,6.1820734275338,3.6178157212434887
2236,565,727,1031,6.773155919064913,2.1895451194296958
3109,83,1019,1151,607.5505844294562,3.688798878000277
2692,961,700,922,7.551255836664938,3.281595790041093
2658,1016,1063,1288,6.905514694662313,1.7653219307228287
2886,191,740,680,869.524216437269,7.588125902911958
2975,1014,714,774,5.450056459242531,4.964047847470477
2403,55,875,559,5.203070162053286,5.280129282325192
2406,541,966,938,14.02966399121067,8.669742728120104
2704,630,655,507,942.5130771813102,5.6822515748774505
2850,908,1434,676,5.370647297585986,5.048159963551695
3065,939,1318,1302,5.476485488448744,4.8930374206754825
2306,969,663,1300,6.111545152134769,3.811956075739239
2781,69,1426,1399,9.967345194860686,6.648976826182384
3102,617,970,1150,6.552598651081881,2.8158195653565525
2506,819,713,1192,7.41850032044435,2.9255485192538173
2576,609,946,1206,96.66209906308175,4.612966651559943
2570,437,1372,896,6.314371166112247,3.307984370983977
2253,732,660,1280,5.829279457991271,4.317368003940495
2802,673,1150,1365,8.462782677694022,4.936411124047315
3024,795,804,629,6.799768059327983,2.4285177763877352
2896,247,968,751,855.5334940641496,3.0485319707027205
2914,898,1412,1082,5.864589373455001,4.29046208092607
2491,668,817,1085,42.12958159123509,2.081699812451244
2322,285,982,586,5.529404583880123,4.812729163313569
2726,315,1239,977,6.093905453657644,3.848634399765005
3123,544,684,903,6.7291482284005255,2.5476445118004754
3120,626,871,1404,6.102725302896208,3.8303492951623244
2745,248,663,672,99.3609729300821,7.360210428908973
2499,40,1002,467,5.829279457991271,4.317368003940495
2205,933,784,859,60.37903988769188,2.3533325884407494
2300,357,968,827,6.826105533005768,2.046866615420392
2380,233,1388,1089,5.89104892117069,4.242463938401955
2585,1025,1245,1279,6.287911618396558,3.3726439225296216
3089,748,1117,927,6.7379985961485644,2.5789778963242447
3038,828,658,743,6.049775688955352,3.8986427386736646
2619,247,1520,938,5.176641132847072,5.344648619565199
2553,1002,767,1187,7.754814294869838,3.7535495806227224
2239,139,1123,1266,5.547074800866727,4.8180518119625955
3020,240,607,758,113.77626880703144,4.900421844648327
2771,783,1384,672,4.541581469161047,6.065363573542014
2564,601,1101,813,22.641071810052797,6.002715846256028
2825,924,976,933,6.870296334727012,2.08763064507915
3029,102,967,1185,152.4246955778679,7.433782082082311
3002,200,1397,1108,6.146794030579548,3.6952536995961336
2843,82,1212,1210,44.62538529618214,5.913635328390754
2239,885,623,1062,7.1087984862819305,1.9721720214304759
2181,452,1142,837,5.652882473220008,4.617559608389074
3133,356,1065,1348,6.2703634754478585,3.549473934568895
2871,773,878,995,6.384960478530229,3.1774639437069077
2813,54,769,1071,6.887905514694663,1.9332852086284151
2618,444,695,1107,7.179723502304149,2.5229519874984905
2756,881,1290,808,5.608783227027192,4.6885691402971394
2621,328,1065,1244,46.22730185857723,7.314447452437952
3036,542,762,542,6.323282570879239,3.4256808668573573
2715,520,1344,538,6.032135990478226,3.9342360928255142
2961,379,934,1397,6.7466353343302705,2.1507793724344335
2289,733,1576,565,6.1820734275338,3.6178157212434887
3064,310,1121,1208,198.82842493972598,6.307265298724032
2486,774,1329,468,5.529404583880124,4.812729163313569
2601,546,711,503,926.2550737022,3.0709628322033047
2963,707,671,674,6.808374279000215,1.886560333273732
2878,599,806,1416,6.129154332102421,3.733245382136433
2425,97,1143,879,5.467696157719658,4.937965979686334
2471,285,1120,1389,7.144230475783563,2.1946311878891636
2379,530,1190,913,6.940855128635517,1.7666337808466748
2274,308,789,816,6.499649037141026,2.91621682076703
2149,351,707,1205,4.964934232612079,5.584601503840674
2171,594,953,1125,7.259193700979644,2.420797917660594
2700,686,735,1185,7.16187017426069,2.1209369622362635
2449,294,1480,1130,6.005767998290965,4.1026980568283085
2624,34,1088,444,5.838129825739312,4.337767772916996
2559,217,1312,796,5.855739005706963,4.269891152126924
2660,494,1134,924,61.733146153141874,5.1778735950020955
